NAME,DESCRIPTION,TELEPHONE,Location,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4
CONNECTICUT STATE POLICE TROOP A - CHESTER RESIDENT STATE TROOPER,STATE POLICE,860-526-3605,"(41.420156, -72.445296)",203 MIDDLESEX AVENUE,,CHESTER,CT,6412,1221
CONNECTICUT STATE POLICE TROOP C - SOMERS RESIDENT STATE TROOPER,STATE POLICE,860-749-4955,"(41.984512, -72.459303)",451 MAIN STREET,,SOMERS,CT,6071,2009
CONNECTICUT STATE POLICE TROOP A - NEW FAIRFIELD RESIDENT STATE TROOPER,STATE POLICE,203-312-5701,"(41.465489, -73.495834)",302 BALL POND ROAD,,NEW FAIRFIELD,CT,6812,4625
CONNECTICUT STATE POLICE TROOP L - HARWINTON RESIDENT STATE TROOPER,STATE POLICE,860-485-1421,"(41.764181, -73.07002)",100 BENTLEY DRIVE,,HARWINTON,CT,6791,2200
CONNECTICUT STATE POLICE - HADDAM RESIDENT STATE TROOPER,STATE POLICE,860-873-1226,"(41.45231, -72.461726)",7 MAIN STREET,,EAST HADDAM,CT,6423,1303
WESTBROOK POLICE DEPARTMENT,MUNICIPAL,860-399-7304,"(41.28153, -72.458812)",866 BOSTON POST ROAD,,WESTBROOK,CT,6498,1881
NEWINGTON POLICE DEPARTMENT,MUNICIPAL,860-594-6218,"(41.6969, -72.729886)",131 CEDAR STREET,,NEWINGTON,CT,6111,2644
PROSPECT POLICE DEPARTMENT,MUNICIPAL,203-758-6150,"(41.499796, -72.977096)",8 CENTER STREET,,PROSPECT,CT,6712,1605
WETHERSFIELD POLICE DEPARTMENT,MUNICIPAL,860-721-2900,"(41.720345, -72.666543)",250 SILAS DEANE HIGHWAY,,WETHERSFIELD,CT,6109,1702
CONNECTICUT STATE POLICE CENTRAL DISTRICT TROOP W - BRADLEY INTERNATIONAL AIRPORT,STATE POLICE,860-292-7400,"(41.930336, -72.685484)",11 SCHOEPHOESTER ROAD,,WINDSOR LOCKS,CT,6096,1022
CONNECTICUT STATE POLICE TROOP E - NORTH STONINGTON RESIDENT STATE TROOPER,STATE POLICE,860-848-6500,"(41.440959, -71.880928)",40 MAIN STREET,,NORTH STONINGTON,CT,6359,1612
MARLBOROUGH POLICE DEPARTMENT,MUNICIPAL,860-295-9098,"(41.668678, -72.464154)",200 WEST ROAD,,MARLBOROUGH,CT,6447,1034
WALLINGFORD POLICE DEPARTMENT,MUNICIPAL,203-294-2800,"(41.455756, -72.816613)",135 NORTH MAIN STREET,,WALLINGFORD,CT,6492,3709
CONNECTICUT STATE POLICE TROOP L BARRACKS - HEADQUARTERS,STATE POLICE,860-626-7900,"(41.736348, -73.217686)",452 BANTAM ROAD,,LITCHFIELD,CT,6759,3201
GRANBY POLICE DEPARTMENT,MUNICIPAL,860-844-5335,"(41.954673, -72.791821)",15 NORTH GRANBY ROAD,,GRANBY,CT,6035,2102
CONNECTICUT STATE POLICE TROOP B - NORFOLK RESIDENT STATE TROOPER,STATE POLICE,860-542-5249,"(41.992703, -73.199512)",14 SHEPARD ROAD,,NORFOLK,CT,6058,1124
WOLCOTT POLICE DEPARTMENT,MUNICIPAL,203-879-1414,"(41.579122, -72.981564)",225 NICHOLS ROAD,,WOLCOTT,CT,6716,2718
BRISTOL POLICE DEPARTMENT,MUNICIPAL,860-584-3011,"(41.674808, -72.946875)",131 NORTH MAIN STREET,,BRISTOL,CT,6010,8101
NEW HARTFORD PUBLIC SAFETY DEPARTMENT,MUNICIPAL,860-379-8621,"(41.879309, -72.979696)",530 MAIN STREET,,NEW HARTFORD,CT,6057,
PLAINFIELD POLICE DEPARTMENT ,MUNICIPAL,860-564-0804,"(41.705262, -71.904661)",210 NORWICH ROAD,,PLAINFIELD,CT,6374,1622
HAMDEN POLICE DEPARTMENT,MUNICIPAL,203-230-4000,"(41.383959, -72.903815)",2900 DIXWELL AVENUE,,HAMDEN,CT,6518,3132
UNIVERSITY OF CONNECTICUT - HEALTH CENTER POLICE,COLLEGE OR UNIVERSITY,860-679-2121,"(41.731095, -72.791577)",263 FARMINGTON AVENUE,,FARMINGTON,CT,6032,1956
DANBURY POLICE DEPARTMENT,MUNICIPAL,203-797-4601,"(41.391809, -73.449997)",120 MAIN STREET,,DANBURY,CT,6810,7834
SHELTON POLICE DEPARTMENT,MUNICIPAL,203-924-1544,"(41.319909, -73.114212)",85 WHEELER STREET,,SHELTON,CT,6484,2221
LEDYARD POLICE DEPARTMENT,MUNICIPAL,860-464-6400,"(41.403862, -72.026044)",11 LORENZ PARKWAY,,LEDYARD,CT,6339,
SIMSBURY POLICE DEPARTMENT,MUNICIPAL,860-658-3100,"(41.880668, -72.802036)",933 HOPMEADOW STREET,,SIMSBURY,CT,6070,1822
NORWICH POLICE DEPARTMENT,MUNICIPAL,860-886-5561,"(41.521682, -72.081122)",70 THAMES STREET,,NORWICH,CT,6360,5646
ANDOVER POLICE DEPARTMENT,MUNICIPAL,860-742-0235,"(41.728454, -72.368181)",17 SCHOOL ROAD,,ANDOVER,CT,6232,1526
ESSEX POLICE DEPARTMENT,MUNICIPAL,860-767-1054,"(41.354125, -72.395848)",29 WEST AVENUE,,ESSEX,CT,6426,1140
CLINTON POLICE DEPARTMENT,MUNICIPAL,860-669-0451,"(41.27545, -72.51263)",170 EAST MAIN STREET,,CLINTON,CT,6413,2115
CROMWELL POLICE DEPARTMENT,MUNICIPAL,860-635-2256,"(41.595825, -72.64682)",5 WEST STREET,,CROMWELL,CT,6416,2123
OLD LYME POLICE DEPARTMENT,MUNICIPAL,860-434-1986,"(41.290561, -72.276432)",294 SHORE ROAD,,OLD LYME,CT,6371,2131
HARTFORD CAMPUS POLICE - SUBSTATION,COLLEGE OR UNIVERSITY,860-570-5173,"(41.772776, -72.707043)",65 ELIZABETH STREET,,HARTFORD,CT,6105,2259
NAUGATUCK VALLEY COMMUNITY COLLEGE - PUBLIC SAFETY DEPARTMENT,COLLEGE OR UNIVERSITY,203-575-8113,"(41.546893, -73.073108)",750 CHASE PARKWAY,,WATERBURY,CT,6708,3011
CONNECTICUT STATE POLICE TROOP A - SOUTHBURY,STATE POLICE,203-267-2200,"(41.45659, -73.234454)",90 LAKESIDE ROAD,,SOUTHBURY,CT,6488,2508
CONNECTICUT STATE POLICE TROOP C - STAFFORD RESIDENT STATE TROOPER,STATE POLICE,860-684-3777,"(41.953431, -72.303365)",2 MAIN STREET,,STAFFORD,CT,6076,1411
WINCHESTER POLICE DEPARTMENT,MUNICIPAL,860-379-2721,"(41.921523, -73.06896)",338 MAIN STREET,,WINSTED,CT,6098,1674
EAST WINDSOR POLICE DEPARTMENT,MUNICIPAL,860-292-8240,"(41.926938, -72.618675)",25 SCHOOL STREET,,EAST WINDSOR,CT,6088,9511
CONNECTICUT STATE POLICE EASTERN DISTRICT TROOP C - TOLLAND,STATE POLICE,860-896-3200,"(41.883222, -72.323218)",1320 TOLLAND STAGE ROAD,,TOLLAND,CT,6084,3111
SOUTHINGTON POLICE DEPARTMENT,MUNICIPAL,860-378-1600,"(41.622443, -72.876051)",69 LAZY LANE,,SOUTHINGTON,CT,6489,1763
WOODBRIDGE POLICE DEPARTMENT,MUNICIPAL,203-387-2512,"(41.353396, -73.012686)",4 MEETINGHOUSE LANE,,WOODBRIDGE,CT,6525,1520
CONNECTICUT STATE POLICE TROOP B BARRACKS - HEADQUARTERS,STATE POLICE,860-824-2500,"(42.042937, -73.326038)",463 ASHLEY FALLS ROAD,,NORTH CANAAN,CT,6018,2041
MANCHESTER POLICE DEPARTMENT,MUNICIPAL,860-645-5500,"(41.784877, -72.511766)",239 MIDDLE TURNPIKE EAST,,MANCHESTER,CT,6040,4206
EAST GRANBY POLICE DEPARTMENT,MUNICIPAL,860-653-5385,"(41.94168, -72.728764)",9 MEMORIAL DRIVE,,EAST GRANBY,CT,6026,9632
MIDDLETOWN POLICE DEPARTMENT,MUNICIPAL,860-344-3200,"(41.559945, -72.648921)",222 MAIN STREET,,MIDDLETOWN,CT,6457,3439
WESTPORT POLICE DEPARTMENT,MUNICIPAL,203-341-6000,"(41.14001, -73.360145)",50 JESUP ROAD,,WESTPORT,CT,6880,4309
CONNECTICUT STATE CAPITOL POLICE,OTHER,860-240-0240,"(41.764383, -72.685197)",210 CAPITOL AVENUE,,HARTFORD,CT,6106,1535
CONNECTICUT STATE POLICE TROOP L - KENT RESIDENT STATE TROOPER,STATE POLICE,860-927-3134,"(41.726499, -73.472096)",41 KENT GREEN BOULEVARD,,KENT,CT,6757,
ANSONIA POLICE DEPARTMENT,MUNICIPAL,203-735-1885,"(41.332986, -73.073282)",2 ELM STREET,,ANSONIA,CT,6401,3310
STRATFORD POLICE DEPARTMENT,MUNICIPAL,203-385-4100,"(41.201712, -73.128916)",900 LONGBROOK AVENUE,,STRATFORD,CT,6614,5007
NEW MILFORD POLICE DEPARTMENT,MUNICIPAL,860-355-3133,"(41.586263, -73.408698)",49 POPLAR STREET,,NEW MILFORD,CT,6776,2920
PORTLAND POLICE DEPARTMENT,MUNICIPAL,860-342-6780,"(41.575271, -72.638557)",265 MAIN STREET,,PORTLAND,CT,6480,1857
GLASTONBURY POLICE DEPARTMENT,MUNICIPAL,860-633-8301,"(41.706228, -72.607223)",2108 MAIN STREET,,GLASTONBURY,CT,6033,2285
MIDDLEBURY POLICE DEPARTMENT,MUNICIPAL,203-577-4028,"(41.51893, -73.137184)",200 SOUTHFORD ROAD,,MIDDLEBURY,CT,6762,2928
BETHEL POLICE DEPARTMENT,MUNICIPAL,203-744-7900,"(41.384339, -73.399858)",49 PLUMTREES ROAD,,BETHEL,CT,6801,1616
CONNECTICUT STATE POLICE - ESSEX RESIDENT STATE TROOPER,STATE POLICE,860-767-1054,"(41.354125, -72.395848)",29 WEST AVENUE,,ESSEX,CT,6426,1140
ROCKY HILL POLICE DEPARTMENT,MUNICIPAL,860-258-7640,"(41.668202, -72.637621)",699 OLD MAIN STREET,,ROCKY HILL,CT,6067,1517
CONNECTICUT STATE POLICE TROOP D - KILLINGLY RESIDENT STATE TROOPER,STATE POLICE,860-779-3900,"(41.804017, -71.880246)",185 BROAD STREET,,DANIELSON,CT,6239,3004
SOUTH WINDSOR POLICE DEPARTMENT,MUNICIPAL,860-644-2551,"(41.836201, -72.552036)",151 SAND HILL ROAD,,SOUTH WINDSOR,CT,6074,2026
ENFIELD POLICE DEPARTMENT,MUNICIPAL,860-763-6400,"(41.997401, -72.553986)",293 ELM STREET,,ENFIELD,CT,6082,3907
RIDGEFIELD POLICE DEPARTMENT,MUNICIPAL,203-438-6531,"(41.281562, -73.493063)",76 EAST RIDGE ROAD,,RIDGEFIELD,CT,6877,5022
NEW FAIRFIELD POLICE DEPARTMENT,MUNICIPAL,203-312-5701,"(41.465489, -73.495834)",302 BALL POND ROAD,,NEW FAIRFIELD,CT,6812,4625
AVERY POINT CAMPUS POLICE - SUBSTATION,COLLEGE OR UNIVERSITY,860-405-9088,"(41.317254, -72.063891)",1084 SHENNECOSSETT ROAD,,GROTON,CT,6340,6048
YALE UNIVERSITY POLICE DEPARTMENT,COLLEGE OR UNIVERSITY,203-432-4400,"(41.315974, -72.928736)",101 ASHMUN STREET,,NEW HAVEN,CT,6511,3646
CONNECTICUT STATE POLICE TROOP B - SALISBURY RESIDENT STATE TROOPER,STATE POLICE,860-435-2938,"(41.981741, -73.423044)",27 MAIN STREET,,SALISBURY,CT,6068,1802
CONNECTICUT STATE POLICE TROOP C - ELLINGTON RESIDENT STATE TROOPER,STATE POLICE,860-875-1522,"(41.903003, -72.463849)",33 ARBOR WAY,,ELLINGTON,CT,6029,3354
UNIVERSITY OF CONNECTICUT - STAMFORD CAMPUS POLICE SUB-STATION,COLLEGE OR UNIVERSITY,203-251-9508,"(41.056069, -73.542303)",16 BROAD STREET,,STAMFORD,CT,6901,2308
CONNECTICUT STATE POLICE TROOP E - MONTVILLE,STATE POLICE,860-848-6500,"(41.473608, -72.115774)",INTERSTATE 395,,UNCASVILLE,CT,6382,
WINDHAM HEIGHTS POLICE DEPARTMENT,MUNICIPAL,860-456-7881,"(41.721898, -72.192914)",208 SCOTT ROAD,,WILLIMANTIC,CT,6226,1879
DERBY POLICE DEPARTMENT,MUNICIPAL,203-735-7812,"(41.322325, -73.086234)",125 WATER STREET,,DERBY,CT,6418,1912
BROOKFIELD POLICE DEPARTMENT,MUNICIPAL,203-775-2575,"(41.467705, -73.400608)",63 SILVERMINE ROAD,,BROOKFIELD,CT,6804,2014
CONNECTICUT STATE POLICE CENTRAL DISTRICT - HEADQUARTERS,STATE POLICE,203-630-5640,"(41.547663, -72.798164)",294 COLONY STREET,,MERIDEN,CT,6451,2053
UNIVERSITY OF CONNECTICUT-STORRS POLICE HEADQUARTERS,COLLEGE OR UNIVERSITY,860-486-4800,"(41.809741, -72.260601)",126 NORTH EAGLEVILLE ROAD,,STORRS,CT,6269,9011
BLOOMFIELD POLICE DEPARTMENT,MUNICIPAL,860-242-6060,"(41.828675, -72.733694)",785 PARK AVENUE,,BLOOMFIELD,CT,6002,2444
CONNECTICUT STATE POLICE EASTERN DISTRICT TROOP D - DANIELSON,STATE POLICE,860-779-4900,"(41.809035, -71.876628)",55 WESTCOTT ROAD,,DANIELSON,CT,6239,2929
CONNECTICUT STATE POLICE TROOP E - LISBON RESIDENT STATE TROOPER,STATE POLICE,860-376-8868,"(41.604347, -72.01473)",15 NEWENT ROAD,,LISBON,CT,6351,2938
COVENTRY POLICE DEPARTMENT,MUNICIPAL,860-742-7331,"(41.777031, -72.309434)",1585 MAIN STREET,,COVENTRY,CT,6238,1615
OLD SAYBROOK POLICE DEPARTMENT,MUNICIPAL,860-395-3142,"(41.291, -72.377357)",225 MAIN STREET,,OLD SAYBROOK,CT,6475,2332
CONNECTICUT STATE POLICE TROOP A - SHERMAN RESIDENT STATE TROOPER,STATE POLICE,860-354-3715,"(41.596698, -73.498803)",43 STATE HIGHWAY 39 NORTH,,SHERMAN,CT,6784,
EASTERN CONNECTICUT STATE UNIVERSITY POLICE,COLLEGE OR UNIVERSITY,860-465-5310,"(41.720384, -72.216074)",44 CHARTER OAK ROAD,,WILLIMANTIC,CT,6226,1340
CONNECTICUT STATE POLICE - EASTERN DISTRICT HEADQUARTERS,STATE POLICE,860-886-5558,"(41.505531, -72.09006)",401 WEST THAMES STREET,,NORWICH,CT,6360,7155
CONNECTICUT STATE POLICE TROOP L - LITCHFIELD RESIDENT STATE TROOPER,STATE POLICE,860-567-8596,"(41.747353, -73.192748)",74 WEST STREET,,LITCHFIELD,CT,6759,3500
THOMASTON POLICE DEPARTMENT,MUNICIPAL,860-283-4343,"(41.672887, -73.07537)",158 MAIN STREET,,THOMASTON,CT,6787,1744
CONNECTICUT STATE POLICE TROOP G - BRIDGEPORT,STATE POLICE,203-696-2500,"(41.172802, -73.191675)",149 PROSPECT STREET,,BRIDGEPORT,CT,6604,4621
BURLINGTON POLICE DEPARTMENT,MUNICIPAL,860-673-4856,"(41.772532, -72.953503)",200 SPIELMAN HIGHWAY,,BURLINGTON,CT,6013,1735
HARTFORD POLICE DEPARTMENT,MUNICIPAL,860-527-6300,"(41.785707, -72.652421)",50 JENNINGS ROAD,,HARTFORD,CT,6120,1611
WILTON POLICE DEPARTMENT,MUNICIPAL,203-834-6260,"(41.190775, -73.425029)",240 DANBURY ROAD,,WILTON,CT,6897,4008
WATERBURY POLICE DEPARTMENT,MUNICIPAL,203-574-6907,"(41.554786, -73.037083)",255 EAST MAIN STREET,,WATERBURY,CT,6702,2301
NORTH BRANFORD POLICE DEPARTMENT,MUNICIPAL,203-484-2703,"(41.352018, -72.802526)",260 FOREST ROAD,,NORTH BRANFORD,CT,6471,
GROTON LONG POINT POLICE DEPARTMENT,MUNICIPAL,860-536-4921,"(41.312515, -72.009917)",3 ATLANTIC AVENUE,,GROTON,CT,6340,8802
FARMINGTON POLICE DEPARTMENT,MUNICIPAL,860-675-2400,"(41.749576, -72.873495)",319 NEW BRITAIN AVENUE,,UNIONVILLE,CT,6085,1224
COLCHESTER POLICE DEPARTMENT,MUNICIPAL,860-537-2989,"(41.57601, -72.328625)",127 NORWICH AVENUE,,COLCHESTER,CT,6415,1230
CONNECTICUT STATE POLICE TROOP D - BROOKLYN RESIDENT STATE TROOPER,STATE POLICE,860-779-9008,"(41.788305, -71.949957)",4 WOLF DEN ROAD,,BROOKLYN,CT,6234,1930
MILFORD POLICE DEPARTMENT,MUNICIPAL,203-878-6551,"(41.227903, -73.070314)",430 BOSTON POST ROAD,,MILFORD,CT,6460,2530
NEW BRITAIN POLICE DEPARTMENT,MUNICIPAL,860-826-3000,"(41.667287, -72.777383)",125 COLUMBUS BOULEVARD,,NEW BRITAIN,CT,6051,2226
STONINGTON POLICE DEPARTMENT,MUNICIPAL,860-599-4411,"(41.367492, -71.861751)",173 SOUTH BROAD STREET,,PAWCATUCK,CT,6379,1995
MANCHESTER COMMUNITY COLLEGE POLICE,MUNICIPAL,860-512-3680,"(41.761275, -72.561694)",60 BIDWELL STREET,,MANCHESTER,CT,6040,6449
EAST HAMPTON POLICE DEPARTMENT,MUNICIPAL,860-267-9544,"(41.58317, -72.503108)",20 EAST HIGH STREET,,EAST HAMPTON,CT,6424,1002
WESTON POLICE DEPARTMENT,MUNICIPAL,203-222-2629,"(41.2021, -73.379444)",56 NORFIELD ROAD,,WESTON,CT,6883,2225
NEW LONDON POLICE DEPARTMENT,MUNICIPAL,860-447-5269,"(41.356936, -72.095964)",5 GOVERNOR WINTHROP BOULEVARD,,NEW LONDON,CT,6320,6423
SALEM POLICE DEPARTMENT,MUNICIPAL,860-859-2507,"(41.492778, -72.276663)",270 HARTFORD ROAD,,SALEM,CT,6420,3804
SOUTHBURY POLICE DEPARTMENT,MUNICIPAL,203-264-5912,"(41.470396, -73.223619)",421 MAIN STREET SOUTH,,SOUTHBURY,CT,6488,2210
CAPITAL COMMUNITY TECHNICAL COLLEGE CAMPUS POLICE,COLLEGE OR UNIVERSITY,860-906-5075,"(41.768315, -72.672619)",950 MAIN STREET,,HARTFORD,CT,6103,1207
GROTON CITY POLICE DEPARTMENT - HEADQUARTERS,MUNICIPAL,860-445-2451,"(41.353001, -72.07091)",295 MERIDIAN STREET,,GROTON,CT,6340,4012
WEST HAVEN POLICE DEPARTMENT,MUNICIPAL,203-937-3900,"(41.273405, -72.96442)",200 SAW MILL ROAD,,WEST HAVEN,CT,6516,4114
CONNECTICUT STATE POLICE TROOP C - HEBRON RESIDENT STATE TROOPER,STATE POLICE,860-228-3710,"(41.658646, -72.362205)",44 MAIN STREET,,HEBRON,CT,6248,1515
WINDSOR LOCKS POLICE DEPARTMENT,MUNICIPAL,860-627-1461,"(41.927354, -72.647194)",4 VOLUNTEER DRIVE,,WINDSOR LOCKS,CT,6096,2134
NEWTOWN POLICE DEPARTMENT,MUNICIPAL,203-426-5841,"(41.40928, -73.306158)",3 MAIN STREET,,NEWTOWN,CT,6470,2104
PLYMOUTH POLICE DEPARTMENT,MUNICIPAL,860-582-1444,"(41.67982, -72.998861)",80 MAIN STREET,,TERRYVILLE,CT,6786,5107
TORRINGTON POLICE DEPARTMENT,MUNICIPAL,860-489-2000,"(41.812229, -73.120556)",576 MAIN STREET,,TORRINGTON,CT,6790,3710
CONNECTICUT STATE POLICE TROOP F - WESTBROOK,STATE POLICE,860-399-2100,"(41.292124, -72.430718)",315 SPENCER PLAINS ROAD,,WESTBROOK,CT,6498,3509
DEEP RIVER POLICE DEPARTMENT,MUNICIPAL,860-526-6027,"(41.385, -72.435837)",174 MAIN STREET,,DEEP RIVER,CT,6417,2008
CONNECTICUT STATE POLICE CENTRAL DISTRICT TROOP H - HARTFORD,STATE POLICE,860-534-1000,"(41.759236, -72.682115)",100 WASHINGTON STREET,,HARTFORD,CT,6106,4419
UNIVERSITY OF NEW HAVEN POLICE,COLLEGE OR UNIVERSITY,203-932-7014,"(41.291711, -72.960689)",300 BOSTON POST ROAD,,WEST HAVEN,CT,6516,
METROPOLITAN DISTRICT POLICE,OTHER,860-379-0916,"(41.921032, -72.963987)",39 BEACH ROCK ROAD,,PLEASANT VALLEY,CT,6063,4136
CONNECTICUT STATE POLICE TROOP K - COLCHESTER,STATE POLICE,860-537-7500,"(41.578889, -72.339032)",15 OLD HARTFORD ROAD,,COLCHESTER,CT,6415,2714
EAST HARTFORD POLICE DEPARTMENT,MUNICIPAL,860-528-4401,"(41.780215, -72.612297)",31 SCHOOL STREET,,EAST HARTFORD,CT,6108,2638
BRANFORD POLICE DEPARTMENT,MUNICIPAL,203-481-4241,"(41.281216, -72.814242)",33 LAUREL STREET,,BRANFORD,CT,6405,3610
CANTON POLICE DEPARTMENT,MUNICIPAL,860-693-0221,"(41.817879, -72.919516)",45 RIVER ROAD,,CANTON,CT,6019,3174
CONNECTICUT STATE POLICE - MIDDLEFIELD RESIDENT STATE TROOPER,STATE POLICE,860-349-7120,"(41.518068, -72.71115)",405 MAIN STREET,,MIDDLEFIELD,CT,6455,1268
REDDING POLICE DEPARTMENT,MUNICIPAL,203-938-2564,"(41.304114, -73.382283)",96 HILL ROAD,,REDDING,CT,6896,2007
CONNECTICUT STATE POLICE TROOP B - PLEASANT VALLEY RESIDENT STATE TROOPER,STATE POLICE,860-379-8782,"(41.91177, -72.989105)",66 STATE HIGHWAY 318,,PLEASANT VALLEY,CT,6063,1137
WESTERN CONNECTICUT STATE COLLEGE POLICE,COLLEGE OR UNIVERSITY,203-837-9300,"(41.400231, -73.443915)",181 WHITE STREET,,DANBURY,CT,6810,6826
CONNECTICUT STATE POLICE - DURHAM RESIDENT STATE TROOPER,STATE POLICE,860-349-2325,"(41.470595, -72.680998)",24 TOWN HOUSE ROAD,,DURHAM,CT,6422,2118
EASTON POLICE DEPARTMENT,MUNICIPAL,203-268-4111,"(41.25257, -73.296878)",700 MOREHOUSE ROAD,,EASTON,CT,6612,1336
BERLIN POLICE DEPARTMENT,MUNICIPAL,860-828-7086,"(41.626844, -72.775379)",240 KENSINGTON ROAD,,KENSINGTON,CT,6037,2655
SUPREME COURT POLICE DEPARTMENT,OTHER,860-757-2299,"(41.762405, -72.68365)",231 CAPITOL AVENUE,,HARTFORD,CT,6106,1548
CONNECTICUT STATE POLICE TROOP E - JEWETT CITY RESIDENT STATE TROOPER,STATE POLICE,860-376-2583,"(41.602591, -71.984012)",1 WEDGEWOOD DRIVE,,JEWETT CITY,CT,6351,2416
MONROE POLICE DEPARTMENT,MUNICIPAL,203-452-2830,"(41.33187, -73.208584)",7 FAN HILL ROAD,,MONROE,CT,6468,1823
HOUSATONIC COMMUNITY COLLEGE CAMPUS SECURITY,COLLEGE OR UNIVERSITY,203-332-5020,"(41.175186, -73.190592)",900 LAFAYETTE BOULEVARD,,BRIDGEPORT,CT,6604,4704
